effect_id,target_type,counter_min,counter_max,text,comment
36,0,5,5,light-screen,Erects a barrier around the user's side of the field that reduces damage from [special]{mechanic:special} attacks by half for five turns.  In double battles$ the reduction is 1/3.  [Critical hit]{mechanic:critical-hit}s are not affected by the barrier.If the user is holding []{item:light-clay}$ the barrier lasts for eight turns.[]{move:brick-break} or []{move:defog} used by an opponent will destroy the barrier.
37,1,0,0,tri-attack,Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn}$ [freeze]{mechanic:freeze}$ or [paralyze]{mechanic:paralyze} the target.  One of these effects is selected at random; they do not each have independent chances to occur.
38,1,2,2,rest,User falls to [sleep]{mechanic:sleep} and immediately regains all its [HP]{mechanic:hp}.  If the user has another [major status effect]{mechanic:major-status-effect}$ [sleep]{mechanic:sleep} will replace it.  The user will always wake up after two turns$ or one turn with []{ability:early-bird}.This move [fail]{mechanic:fail}s if the Pokémon cannot fall asleep due to []{move:uproar}$ []{ability:insomnia}$ or []{ability:vital-spirit}.  It also fails if the Pokémon is at full health or is already asleep.
41,0,0,0,super-fang,Inflicts [typeless]{mechanic:typeless} damage equal to half the target's remaining [HP]{mechanic:hp}.
42,1,0,0,dragon-rage,Inflicts exactly 40 damage.
43,1,2,5,{defender} is hurt by {attack}.,can't substitute for 2-5 turns$ take 1/16 of health damage per turn
44,0,0,0,,get 1 higher crit for turn
45,1,2,2,It hit {counter} times.,hits twice
46,1,0,0,high-jump-kick,Inflicts [regular damage]{mechanic:regular-damage}.  If this move misses$ is blocked by []{move:protect} or []{move:detect}$ or has no effect$ the user takes half the damage it would have inflicted in recoil.  This recoil damage will not exceed half the user's max HP.This move cannot be used while []{move:gravity} is in effect.
47,0,5,5,{attacker}'s team is immune to stat changes.,{attacker}'s team is immune to stat changes
48,0,-1,-1,focus-energy,User's [critical hit]{mechanic:critical-hit} rate is two levels higher until it leaves the field.  If the user has already used []{move:focus-energy} since entering the field$ this move will [fail]{mechanic:fail}.This effect is passed on by []{move:baton-pass}.
58,0,-1,-1,transform,User copies the target's species$ weight$ type$ [ability]{mechanic:ability}$ [calculated stats]{mechanic:calculated-stats} (except [HP]{mechanic:hp})$ and moves.  Copied moves will all have 5 [PP]{mechanic:pp} remaining.  [IV]{mechanic:iv}s are copied for the purposes of []{move:hidden-power}$ but stats are not recalculated.[]{item:choice-band}$ []{item:choice-scarf}$ and []{item:choice-specs} stay in effect$ and the user must select a new move.This move cannot be copied by []{move:mirror-move}$ nor forced by []{move:encore}.
66,0,5,5,reflect,Erects a barrier around the user's side of the field that reduces damage from [physical]{mechanic:physical} attacks by half for five turns.  In double battles$ the reduction is 1/3.  [Critical hit]{mechanic:critical-hit}s are not affected by the barrier.If the user is holding []{item:light-clay}$ the barrier lasts for eight turns.[]{move:brick-break} or []{move:defog} used by an opponent will destroy the barrier.
76,1,1,1,sky-attack,Inflicts [regular damage]{mechanic:regular-damage}.  User charges for one turn before attacking.  [Critical hit chance]{mechanic:critical-hit-chance} is one level higher than normal.  Has a $effect_chance% chance to make the target [flinch]{mechanic:flinch}.This move cannot be selected by []{move:sleep-talk}.
78,1,2,2,twineedle,Inflicts [regular damage]{mechanic:regular-damage}.  Hits twice in the same turn.  Has a $effect_chance% chance to [poison]{mechanic:poison} the target.
80,0,-1,-1,substitute,Transfers 1/4 the user's max [HP]{mechanic:hp} into a doll that absorbs damage and causes most negative move effects to [fail]{mechanic:fail}.  If the user leaves the [field]{mechanic:field}$ the doll will vanish.  If the user cannot pay the [HP]{mechanic:hp} cost$ this move will fail.The doll takes damage as normal$ using the user's stats and types$ and will break when its [HP]{mechanic:hp} reaches zero.  Self-inflicted damage from [confusion]{mechanic:confusion} or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user's [HP]{mechanic:hp} still do so; the doll's [HP]{mechanic:hp} does not influence any move.The doll will block [major status effect]{mechanic:major-status-effect}s$ [confusion]{mechanic:confusion}$ and [flinch]{mechanic:flinch}ing.  The effects of []{move:smelling-salts} and []{move:wake-up-slap} do not trigger against a doll$ even if the Pokémon behind the doll has the appropriate [major status effect]{mechanic:major-status-effect}.  Multi-turn trapping moves like []{move:wrap} will hit the doll for their [regular damage]{mechanic:regular-damage}$ but the multi-turn trapping and damage effects will not activate.Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such$ e.g.$ []{move:avalanche}$ []{move:counter}$ or a []{item:rowap-berry}.  []{move:magic-coat} still works as normal$ even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like []{move:absorb} are healed as normal.It will also block []{move:acupressure}$ []{move:block}$ the curse effect of []{move:curse}$ []{move:dream-eater}$ []{move:embargo}$ []{move:flatter}$ []{move:gastro-acid}$ []{move:grudge}$ []{move:heal-block}$ []{move:leech-seed}$ []{move:lock-on}$ []{move:mean-look}$ []{move:mimic}$ []{move:mind-reader}$ []{move:nightmare}$ []{move:pain-split}$ []{move:psycho-shift}$ []{move:spider-web}$ []{move:sketch}$ []{move:swagger}$ []{move:switcheroo}$ []{move:trick}$ []{move:worry-seed}$ and []{move:yawn}.  A Pokémon affected by []{move:yawn} before summoning the doll will still fall to [sleep]{mechanic:sleep}.The doll blocks []{ability:intimidate}$ but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for [HP]{mechanic:hp} (such as []{ability:volt-absorb} absorbing []{move:thunder-wave})$ such moves will not be blocked.[]{item:life-orb} and berries that cause [confusion]{mechanic:confusion} still work as normal$ but their respective [HP]{mechanic:hp} loss and [confusion]{mechanic:confusion} are absorbed/blocked by the doll.The user is still vulnerable to damage inflicted when entering or leaving the [field]{mechanic:field}$ such as by []{move:pursuit} or []{move:spikes}; however$ the doll will block the [poison]{mechanic:poison} effect of []{move:toxic-spikes}.The doll is passed on by []{move:baton-pass}.  It keeps its existing [HP]{mechanic:hp}$ but uses the replacement Pokémon's stats and types for damage calculation.All other effects work as normal.
81,0,2,2,{attacker} must recharge!,recharge next turn
82,1,1,1,rage,Inflicts [regular damage]{mechanic:regular-damage}.  Every time the user is hit after it uses this move but before its next action$ its [Attack]{mechanic:attack} raises by one [stage]{mechanic:stage}.
83,1,-1,-1,mimic,use opponents last used move
84,0,0,0,metronome,Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist$ meta$ protection$ and reflection moves are also not eligible; specifically$ []{move:assist}$ []{move:chatter}$ []{move:copycat}$ []{move:counter}$ []{move:covet}$ []{move:destiny-bond}$ []{move:detect}$ []{move:endure}$ []{move:feint}$ []{move:focus-punch}$ []{move:follow-me}$ []{move:helping-hand}$ []{move:me-first}$ []{move:metronome}$ []{move:mimic}$ []{move:mirror-coat}$ []{move:mirror-move}$ []{move:protect}$ []{move:quick-guard}$ []{move:sketch}$ []{move:sleep-talk}$ []{move:snatch}$ []{move:struggle}$ []{move:switcheroo}$ []{move:thief}$ []{move:trick}$ and []{move:wide-guard} will not be selected by this move.This move cannot be copied by []{move:mimic} or []{move:mirror-move}$ nor selected by []{move:assist}$ []{move:metronome}$ or []{move:sleep-talk}.
85,1,-1,-1,leech-seed,Plants a seed on the target that [drains]{mechanic:drain} 1/8 of its max [HP]{mechanic:hp} at the end of every turn and heals the user for the amount taken.  Has no effect on []{type:grass} Pokémon.  The seed remains until the target leaves the field.The user takes damage instead of being healed if the target has []{ability:liquid-ooze}.[]{move:rapid-spin} will remove this effect.This effect is passed on by []{move:baton-pass}.
86,0,0,0,splash,Does nothing.This move cannot be used while []{move:gravity} is in effect.
87,1,3,5,{defender}'s {move} was disabled.,{defender}'s {move} was disabled
88,1,0,0,,Inflicts damage equal to the user's level.  Type immunity applies$ but other type effects are ignored.
89,1,0,0,,Inflicts [typeless]{mechanic:typeless} damage between 50% and 150% of the user's level$ selected at random in increments of 10%.
90,1,0,0,,Targets the last opposing Pokémon to hit the user with a [physical]{mechanic:physical} move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target$ this move will [fail]{mechanic:fail}.  Type immunity applies$ but other type effects are ignored.This move cannot be copied by []{move:mirror-move}$ nor selected by []{move:assist} or []{move:metronome}.
91,1,4,8,,The next 4–8 times (selected at random) the target attempts to move$ it is forced to repeat its last used move.  If the selected move allows the trainer to select a target$ an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect$ []{move:struggle} will be used instead.  This effect ends if the selected move runs out of [PP]{mechanic:pp}.If the target hasn't used a move since entering the [field]{mechanic:field}$ if it tried to use a move this turn and [failed]{mechanic:failed}$ if it does not know the selected move$ or if the selected move has 0 [PP]{mechanic:pp} remaining$ this move will fail.  If the target's last used move was []{move:encore}$ []{move:mimic}$ []{move:mirror-move}$ []{move:sketch}$ []{move:struggle}$ or []{move:transform}$ this move will fail.
92,1,0,0,,Changes the user's and target's remaining [HP]{mechanic:hp} to the average of their current remaining [HP]{mechanic:hp}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.This effect [fail]{mechanic:fail}s against a []{move:substitute}.
93,1,0,0,,Only usable if the user is [sleep]{mechanic:sleep}ing.  Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to make the target []{mechanic:flinch}.
94,0,-1,-1,,Changes the user's type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type$ this move will [fail]{mechanic:fail}.
95,0,1,1,,If the user targets the same target again before the end of the next turn$ the move it uses is guaranteed to hit.  This move itself also ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.One-hit KO moves are also guaranteed to hit$ as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as []{move:dig} or []{move:fly}.If the target uses []{move:detect} or []{move:protect} while under the effect of this move$ the user is not guaranteed to hit$ but has a (100 - accuracy)% chance to break through the protection.This effect is passed on by []{move:baton-pass}.
96,1,-1,-1,,Permanently replaces itself with the target's last used move.  If that move is []{move:chatter} or []{move:struggle}$ this move will [fail]{mechanic:fail}.This move cannot be copied by []{move:mimic} or []{move:mirror-move}$ nor selected by []{move:assist} or []{move:metronome}$ nor forced by []{move:encore}.
98,0,0,0,,Only usable if the user is [sleep]{mechanic:sleep}ing.  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 [PP]{mechanic:pp}.This move will not select []{move:assist}$ []{move:bide}$ []{move:bounce}$ []{move:chatter}$ []{move:copycat}$ []{move:dig}$ []{move:dive}$ []{move:fly}$ []{move:focus-punch}$ []{move:me-first}$ []{move:metronome}$ []{move:mirror-move}$ []{move:shadow-force}$ []{move:skull-bash}$ []{move:sky-attack}$ []{move:sky-drop}$ []{move:sleep-talk}$ []{move:solar-beam}$ []{move:razor-wind}$ or []{move:uproar}.If the selected move requires a recharge turn—i.e.$ one of []{move:blast-burn}$ []{move:frenzy-plant}$ []{move:giga-impact}$ []{move:hydro-cannon}$ []{move:hyper-beam}$ []{move:roar-of-time}$ or []{move:rock-wrecker}—and the user is still [sleep]{mechanic:sleep}ing next turn$ then it's forced to use this move again and pay another [PP]{mechanic:pp} for the recharge turn.This move cannot be copied by []{move:mirror-move}$ nor selected by []{move:assist}$ []{move:metronome}$ or []{move:sleep-talk}.
99,1,1,1,,If the user [faints]{mechanic:faints} before its next move$ the Pokémon that [faint]{mechanic:faint}ed it will automatically [faint]{mechanic:faint}.  End-of-turn damage is ignored.This move cannot be selected by []{move:assist} or []{move:metronome}.
100,1,0,0,,Inflicts [regular damage]{mechanic:regular-damage}.  Power varies inversely with the user's proportional remaining [HP]{mechanic:hp}.64 * current HP / max HP | Power-----------------------: | ----: 0– 1                    |  200 2– 5                    |  150 6–12                    |  10013–21                    |   8022–42                    |   4043–64                    |   20
102,1,0,0,,Inflicts [regular damage]{mechanic:regular-damage}.  Will not reduce the target's [HP]{mechanic:hp} below 1.
103,0,0,0,,Removes [major status effects]{mechanic:major-status-effects} and [confusion]{mechanic:confusion} from every Pokémon in the user's party.
105,1,1,3,,Inflicts [regular damage]{mechanic:regular-damage}.  Hits three times in the same turn.  The second hit has double power$ and the third hit has triple power.  Each hit has a separate [accuracy]{mechanic:accuracy} check$ and this move stops if a hit misses.[]{ability:skill-link} does not apply.
108,1,-1,-1,,Only works on [sleep]{mechanic:sleep}ing Pokémon.  Gives the target a nightmare$ damaging it for 1/4 its max [HP]{mechanic:hp} every turn.  If the target wakes up or leaves the [field]{mechanic:field}$ this effect ends.
109,0,0,0,,Raises the user's [evasion]{mechanic:evasion} by two [stages]{mechanic:stage}.[]{move:stomp} and []{move:steamroller} have double power against Pokémon that have used this move since entering the [field]{mechanic:field}.
110,1,-1,-1,,If the user is a []{type:ghost}: user pays half its max [HP]{mechanic:hp} to place a curse on the target$ damaging it for 1/4 its max [HP]{mechanic:hp} every turn.Otherwise: Lowers the user's [Speed]{mechanic:speed} by one [stage]{mechanic:stage}$ and raises its [Attack]{mechanic:attack} and [Defense]{mechanic:defense} by one [stage]{mechanic:stage} each.The curse effect is passed on by []{move:baton-pass}.This move cannot be copied by []{move:mirror-move}.
112,0,0,0,,No moves will hit the user for the remainder of this turn.  If the user is last to act this turn$ this move will [fail]{mechanic:fail}.If the user successfully used []{move:detect}$ []{move:endure}$ []{move:protect}$ []{move:quick-guard}$ or []{move:wide-guard} on the last turn$ this move has a 50% chance to [fail]{mechanic:fail}.[]{move:lock-on}$ []{move:mind-reader}$ and []{ability:no-guard} provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves ([]{move:fissure}$ []{move:guillotine}$ []{move:horn-drill}$ and []{move:sheer-cold}); those are always blocked by this move.[]{move:thunder} during []{move:rain-dance} and []{move:blizzard} during []{move:hail} have a 30% chance to break through this move.The following effects are not prevented by this move:* []{move:acupressure} from an ally* []{move:curse}'s curse effect* Delayed damage from []{move:doom-desire} and []{move:future-sight}; however$ these moves will be prevented if they are used this turn* []{move:feint}$ which will also end this move's protection after it hits* []{move:imprison}* []{move:perish-song}* []{move:shadow-force}* Moves that merely copy the user$ such as []{move:transform} or []{move:psych-up}This move cannot be selected by []{move:assist} or []{move:metronome}.
113,1,-1,-1,,Scatters spikes around the opposing [field]{mechanic:field}$ which damage opposing Pokémon that enter the [field]{mechanic:field} for 1/8 of their max [HP]{mechanic:hp}.  Pokémon immune to []{type:ground} moves are immune to this damage$ except during []{move:gravity}.  Up to three layers of spikes may be laid down$ adding 1/16 to the damage done: two layers of spikes damage for 3/16 max [HP]{mechanic:hp}$ and three layers damage for 1/4 max [HP]{mechanic:hp}.[]{ability:wonder-guard} does not block damage from this effect.[]{move:rapid-spin} removes this effect from its user's side of the [field]{mechanic:field}.  []{move:defog} removes this effect from its target's side of the [field]{mechanic:field}.
114,1,-1,-1,,Resets the target's [evasion]{mechanic:evasion} to normal and prevents any further boosting until the target leaves the [field]{mechanic:field}.  A []{type:ghost} under this effect takes normal damage from []{type:normal} and []{type:fighting} moves.  This move itself ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.
115,1,3,3,,Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn$ including this one.  When a Pokémon's counter reaches zero$ that Pokémon [faint]{mechanic:faint}s.  A Pokémon that leaves the [field]{mechanic:field} will lose its counter; its replacement does not inherit the effect$ and other Pokémon's counters remain.This effect is passed on by []{move:baton-pass}.This move cannot be copied by []{move:mirror-move}.
116,0,5,5,,Changes the weather to a sandstorm for five turns.  Pokémon that are not []{type:ground}$ []{type:rock}$ or []{type:steel} take 1/16 their max [HP]{mechanic:hp} at the end of every turn.  Every []{type:rock} Pokémon's original [Special Defense]{mechanic:special-defense} is raised by 50% for the duration of this effect.[]{move:solar-beam}'s power is halved.[]{move:moonlight}$ []{move:morning-sun}$ and []{move:synthesis} only heal 1/4 the user's max [HP]{mechanic:hp}.
117,0,0,0,,The user's [HP]{mechanic:hp} cannot be lowered below 1 by any means for the remainder of this turn.If the user successfully used []{move:detect}$ []{move:endure}$ []{move:protect}$ []{move:quick-guard}$ or []{move:wide-guard} on the last turn$ this move has a 50% chance to [fail]{mechanic:fail}.This move cannot be selected by []{move:assist} or []{move:metronome}.
118,1,5,5,,Inflicts [regular damage]{mechanic:regular-damage}.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x$ and resets to normal after the lock-in ends.  If this move misses or becomes unusable$ the lock-in ends.If the user has used []{move:defense-curl} since entering the field$ this move has double power.
120,1,5,5,,Inflicts [regular damage]{mechanic:regular-damage}.  Power doubles after every time this move is used$ whether consecutively or not$ maxing out at 16x.  If this move misses or the user leaves the [field]{mechanic:field}$ power resets.
122,1,0,0,,Inflicts [regular damage]{mechanic:regular-damage}.  Power increases with [happiness]{mechanic:happiness}$ given by `happiness * 2 / 5`$ to a maximum of 102.  Power bottoms out at 1.
123,1,0,0,,Randomly uses one of the following effects.Effect                                             | Chance-------------------------------------------------- | -----:Inflicts [regular damage]{mechanic:regular-damage} with 40 power  |    40%Inflicts [regular damage]{mechanic:regular-damage} with 80 power  |    30%Inflicts [regular damage]{mechanic:regular-damage} with 120 power |    10%Heals the target for 1/4 its max [HP]{mechanic:hp}    |    20%On average$ this move inflicts [regular damage]{mechanic:regular-damage} with 52 power and heals the target for 1/20 its max [HP]{mechanic:hp}.
124,1,0,0,,Inflicts [regular damage]{mechanic:regular-damage}.  Power increases inversely with [happiness]{mechanic:happiness}$ given by `(255 - happiness) * 2 / 5`$ to a maximum of 102.  Power bottoms out at 1.
125,0,5,5,,Protects Pokémon on the user's side of the [field]{mechanic:field} from [major status]{mechanic:major-status} effects and [confusion]{mechanic:confusion} for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the [field]{mechanic:field}.If []{move:yawn} is used while this move is in effect$ it will immediately [fail]{mechanic:fail}.[]{move:defog} used by an opponent will end this effect.This effect does not prevent the [confusion]{mechanic:confusion} caused by []{move:outrage}$ []{move:petal-dance}$ or []{move:thrash}.
127,1,10,150,,Inflicts [regular damage]{mechanic:regular-damage}.  Power is selected at random between 10 and 150$ with an average of 71:Magnitude | Power | Chance--------: | ----: | -----:        4 |    10 |     5%        5 |    30 |    10%        6 |    50 |    20%        7 |    70 |    30%        8 |    90 |    20%        9 |   110 |    10%       10 |   150 |     5%This move has double power against Pokémon currently underground due to []{move:dig}.
128,0,0,0,baton-pass,User [switches out]{mechanic:switches-out}$ and the trainer selects a replacement Pokémon from the party.  [Stat]{mechanic:stat} changes$ [confusion]{mechanic:confusion}$ and persistent move effects are passed along to the replacement Pokémon.The following move effects are passed:* []{move:aqua-ring}* both the user's and target's effect of []{move:block}$ []{move:mean-look}$ and []{move:spider-web}* the curse effect of []{move:curse}* []{move:embargo}* []{move:focus-energy} or an activated []{item:lansat-berry}* []{move:gastro-acid}* []{move:ingrain}* being sapped by []{move:leech-seed}* being targeted by []{move:lock-on} or []{move:mind-reader}* []{move:magnet-rise}* []{move:perish-song}'s counter* []{move:power-trick}* []{move:substitute}; the doll's HP is unchangedThe replacement Pokémon does not trigger effects that respond to Pokémon switching in.
130,1,0,0,,Inflicts [regular damage]{mechanic:regular-damage}.  Removes []{move:leech-seed} from the user$ frees the user from []{move:bind}$ []{move:clamp}$ []{move:fire-spin}$ []{move:magma-storm}$ []{move:sand-tomb}$ []{move:whirlpool}$ and []{move:wrap}$ and clears []{move:spikes}$ []{move:stealth-rock}$ and []{move:toxic-spikes} from the user's side of the [field]{mechanic:field}.  If this move misses or has [no effect]{mechanic:no-effect}$ its effect doesn't activate.
131,1,1,0,,Inflicts exactly 20 damage.
133,0,-1,-1,,Restore 1/2 of Max Health
136,1,0,0,hidden-power,Inflicts [regular damage]{mechanic:regular-damage}.  Power and type are determined by the user's [IV]{mechanic:iv}s.Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the [IV]{mechanic:iv} for each of [Special Defense]{mechanic:special-defense}$ [Special Attack]{mechanic:special-attack}$ [Speed]{mechanic:speed}$ [Defense]{mechanic:defense}$ [Attack]{mechanic:attack}$ and [HP]{mechanic:hp} in that order.  (Bit 1 is 1 if the [IV]{mechanic:iv} is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * [Special Defense]{mechanic:special-defense} [IV]{mechanic:iv} bit 1$ plus 32 * [Special Attack]{mechanic:special-attack} [IV]{mechanic:iv} bit 1$ etc.)Power is always between 30 and 70$ inclusive.  Average power is 49.5.Type is given by `y * 15 / 63`$ where `y` is similar to `x` above$ except constructed from bit 0.  (Bit 0 is 1 if the [IV]{mechanic:iv} is odd.)  The result is looked up in the following table.Value | Type----: | --------    0 | []{type:fighting}    1 | []{type:flying}    2 | []{type:poison}    3 | []{type:ground}    4 | []{type:rock}    5 | []{type:bug}    6 | []{type:ghost}    7 | []{type:steel}    8 | []{type:fire}    9 | []{type:water}   10 | []{type:grass}   11 | []{type:electric}   12 | []{type:psychic}   13 | []{type:ice}   14 | []{type:dragon}   15 | []{type:dark}This move thus cannot be []{type:normal}.  Most other types have an equal 1/16 chance to be selected$ given random [IV]{mechanic:iv}s.  However$ due to the flooring used here$ []{type:bug}$ []{type:fighting}$ and []{type:grass} appear 5/64 of the time$ and []{type:dark} only 1/64 of the time.
