90,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53,54,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56,,,63,55,,,,,,,,53,54,54,55,,,,,,,,,,,,,,,,,,,,,,,
,,,,56,,,,58,,,,,,,,56,,,58,,,,,,,,,,,,,,,,,,,,,,,
,,,,56,,,,58,,,,,,,53,62,,,58,,,,,,,,,,,,,,,,,,,,,,,
,,,,59,60,60,60,61,,,,,,,56,,,,58,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,56,,,,58,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,56,,,,58,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,59,60,60,60,61,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53,54,54,54,54,54,54,54,54,54,54,54,54,55,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56,,,,,,,,,,,,,58,,,,,,,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,,
,,,,56,,,,,,,,,,,,,58,,,,,,,56,,,,,,,,,,,,,,,,58,,
,,,,56,,,,,,,,,,,,,58,,,,,,,56,,,,,,,,,,,,,,,,58,,
,,,,56,,,,,,,,,,,,,58,,,,,,,56,,,,,,,,,,,,,,,,58,,
,,,,56,,,,,,,,,,,,,58,,,,,,,56,,,,,,,,,,,,,,,,58,,
,,,,56,,,,,,,,,,,,,58,,,,,,,56,,,,,,,,,,,,,,,,58,,
,,,,56,,,,,,,,,,,,,58,,,,,,,56,,,,,,,,,,,,,,,,58,,
,,,,59,60,60,60,60,60,60,60,60,60,60,60,60,61,,,,,,,56,,,,,,,,,,,,,,,,58,,
,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,58,,
,,,,,,,,,,,,,,,,,,,,,,,,59,60,60,60,60,60,60,60,60,64,,,,,,,58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,60,60,60,60,60,60,61,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,,,,,,,,,,,,
,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,58,,,,53,54,54,54,54,54,54,54,55
,,,,,,,,56,,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,,,58,,,,56,,,,,,,,58
,,,,,,,,56,,43,40,41,41,41,41,42,,,,40,41,41,41,41,41,42,45,,,58,,,,56,,,,,,,,58
,,,,,,,,56,,43,43,85,86,86,87,45,,,,43,,,,,,45,45,,,58,,,,56,,,,,,,,58
,,,,,,,,56,,43,43,90,98,98,91,45,,,,43,,,,,,45,45,,,58,,,,56,,,,,,,,58
,,,,,,,,56,,43,46,47,47,47,47,48,,,,46,47,47,47,47,47,48,45,,,58,,,,59,60,60,64,,65,60,60,61
,,,,,,,,56,,46,47,47,,47,47,47,47,47,47,47,47,47,,47,47,47,48,,,58,,,,,,,59,60,61,,,
,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,
,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,
,,,,,,,,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,,,,,,,,,,,,
